[train_v2] Device: cuda
[train_v2] transition=lstm hidden=512 layers=3 | epochs=1500 seq_len=40 lr=0.0005 batch=8
[train_v2] loss weights: recon=0.3 kl_dyn=1.0 kl_reg=0.005 free_bits=0.0 trans_mse=1.0
[train_v2] Loaded 9 cached feature sequences from data/features_cache_v2.pkl
[train_v2] feature stats set on 2435 frames (mean|14.114| std~74.016)
/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[metrics] run 'world_model_v2_20260621_052133' → logs/world_model_v2_20260621_052133/

==================================================
WORLD MODEL v2 TRAINING (proper VAE)
==================================================
  Epoch  570/1500 | Loss 1.40115 | Best 1.13210 | recon 1.3157 | kl_dyn 0.0001 | kl_reg 0.0098
  Epoch  575/1500 | Loss 1.31747 | Best 1.13210 | recon 1.0495 | kl_dyn 0.0000 | kl_reg 0.0107
  Epoch  580/1500 | Loss 1.24164 | Best 1.13210 | recon 0.8215 | kl_dyn 0.0000 | kl_reg 0.0084
  Epoch  585/1500 | Loss 1.25497 | Best 1.13210 | recon 0.8546 | kl_dyn 0.0000 | kl_reg 0.0075
  Epoch  590/1500 | Loss 1.31156 | Best 1.13210 | recon 1.0431 | kl_dyn 0.0001 | kl_reg 0.0087
  Epoch  595/1500 | Loss 1.30914 | Best 1.13210 | recon 1.0309 | kl_dyn 0.0000 | kl_reg 0.0083
  Epoch  600/1500 | Loss 1.21156 | Best 1.13210 | recon 0.7048 | kl_dyn 0.0000 | kl_reg 0.0086
  Epoch  605/1500 | Loss 1.39498 | Best 1.13210 | recon 1.3025 | kl_dyn 0.0000 | kl_reg 0.0078
  Epoch  610/1500 | Loss 1.29485 | Best 1.13210 | recon 1.0174 | kl_dyn 0.0000 | kl_reg 0.0061
  Epoch  615/1500 | Loss 1.13952 | Best 1.13210 | recon 0.4700 | kl_dyn 0.0000 | kl_reg 0.0046
  Epoch  620/1500 | Loss 1.41966 | Best 1.13210 | recon 1.3743 | kl_dyn 0.0000 | kl_reg 0.0050
  Epoch  625/1500 | Loss 1.26361 | Best 1.13210 | recon 0.8679 | kl_dyn 0.0000 | kl_reg 0.0055
  Epoch  630/1500 | Loss 1.36186 | Best 1.13210 | recon 1.1905 | kl_dyn 0.0000 | kl_reg 0.0064
  Epoch  635/1500 | Loss 1.36917 | Best 1.13210 | recon 1.2155 | kl_dyn 0.0001 | kl_reg 0.0086
  Epoch  640/1500 | Loss 1.36546 | Best 1.13210 | recon 1.2034 | kl_dyn 0.0001 | kl_reg 0.0087
  Epoch  645/1500 | Loss 1.14892 | Best 1.13210 | recon 0.5043 | kl_dyn 0.0000 | kl_reg 0.0080
  Epoch  650/1500 | Loss 1.38845 | Best 1.13210 | recon 1.2880 | kl_dyn 0.0000 | kl_reg 0.0070
  Epoch  655/1500 | Loss 1.26552 | Best 1.13210 | recon 0.8829 | kl_dyn 0.0000 | kl_reg 0.0063
  Epoch  660/1500 | Loss 1.28205 | Best 1.13210 | recon 0.9643 | kl_dyn 0.0000 | kl_reg 0.0063
